"outcome","statement","odd_mydat","even_mydat"
1,"Minimize the likelihood that business stakeholders cannot use the model's predictions in an actionable way",5,5
1,"Minimize the likelihood that business stakeholders cannot use the model's predictions in an actionable way",1,1
1,"Minimize the likelihood that business stakeholders cannot use the model's predictions in an actionable way",5,1
1,"Minimize the likelihood that business stakeholders cannot use the model's predictions in an actionable way",2,4
1,"Minimize the likelihood that business stakeholders cannot use the model's predictions in an actionable way",5,2
1,"Minimize the likelihood that business stakeholders cannot use the model's predictions in an actionable way",1,3
1,"Minimize the likelihood that business stakeholders cannot use the model's predictions in an actionable way",5,5
1,"Minimize the likelihood that business stakeholders cannot use the model's predictions in an actionable way",4,5
1,"Minimize the likelihood that business stakeholders cannot use the model's predictions in an actionable way",5,5
1,"Minimize the likelihood that business stakeholders cannot use the model's predictions in an actionable way",5,4
1,"Minimize the likelihood that business stakeholders cannot use the model's predictions in an actionable way",5,5
1,"Minimize the likelihood that business stakeholders cannot use the model's predictions in an actionable way",1,4
1,"Minimize the likelihood that business stakeholders cannot use the model's predictions in an actionable way",4,4
1,"Minimize the likelihood that business stakeholders cannot use the model's predictions in an actionable way",5,5
1,"Minimize the likelihood that business stakeholders cannot use the model's predictions in an actionable way",5,1
1,"Minimize the likelihood that business stakeholders cannot use the model's predictions in an actionable way",5,4
1,"Minimize the likelihood that business stakeholders cannot use the model's predictions in an actionable way",5,2
1,"Minimize the likelihood that business stakeholders cannot use the model's predictions in an actionable way",4,2
1,"Minimize the likelihood that business stakeholders cannot use the model's predictions in an actionable way",5,5
1,"Minimize the likelihood that business stakeholders cannot use the model's predictions in an actionable way",4,3
1,"Minimize the likelihood that business stakeholders cannot use the model's predictions in an actionable way",5,4
1,"Minimize the likelihood that business stakeholders cannot use the model's predictions in an actionable way",5,4
1,"Minimize the likelihood that business stakeholders cannot use the model's predictions in an actionable way",5,2
1,"Minimize the likelihood that business stakeholders cannot use the model's predictions in an actionable way",2,2
1,"Minimize the likelihood that business stakeholders cannot use the model's predictions in an actionable way",4,5
1,"Minimize the likelihood that business stakeholders cannot use the model's predictions in an actionable way",4,4
1,"Minimize the likelihood that business stakeholders cannot use the model's predictions in an actionable way",5,4
1,"Minimize the likelihood that business stakeholders cannot use the model's predictions in an actionable way",4,3
1,"Minimize the likelihood that business stakeholders cannot use the model's predictions in an actionable way",4,5
1,"Minimize the likelihood that business stakeholders cannot use the model's predictions in an actionable way",5,2
1,"Minimize the likelihood that business stakeholders cannot use the model's predictions in an actionable way",4,4
1,"Minimize the likelihood that business stakeholders cannot use the model's predictions in an actionable way",4,4
1,"Minimize the likelihood that business stakeholders cannot use the model's predictions in an actionable way",3,1
1,"Minimize the likelihood that business stakeholders cannot use the model's predictions in an actionable way",5,4
1,"Minimize the likelihood that business stakeholders cannot use the model's predictions in an actionable way",4,4
1,"Minimize the likelihood that business stakeholders cannot use the model's predictions in an actionable way",3,3
1,"Minimize the likelihood that business stakeholders cannot use the model's predictions in an actionable way",5,4
1,"Minimize the likelihood that business stakeholders cannot use the model's predictions in an actionable way",3,3
1,"Minimize the likelihood that business stakeholders cannot use the model's predictions in an actionable way",3,3
1,"Minimize the likelihood that business stakeholders cannot use the model's predictions in an actionable way",5,4
1,"Minimize the likelihood that business stakeholders cannot use the model's predictions in an actionable way",4,5
1,"Minimize the likelihood that business stakeholders cannot use the model's predictions in an actionable way",4,4
1,"Minimize the likelihood that business stakeholders cannot use the model's predictions in an actionable way",5,3
1,"Minimize the likelihood that business stakeholders cannot use the model's predictions in an actionable way",4,5
1,"Minimize the likelihood that business stakeholders cannot use the model's predictions in an actionable way",5,5
1,"Minimize the likelihood that business stakeholders cannot use the model's predictions in an actionable way",5,2
1,"Minimize the likelihood that business stakeholders cannot use the model's predictions in an actionable way",5,4
1,"Minimize the likelihood that business stakeholders cannot use the model's predictions in an actionable way",3,4
